750$2018-06-02 10:26:28$like$1328
755$2018-10-01 14:16:09$share$256
1048$2018-04-21 14:58:33$browse$384
454$2018-02-24 10:58:35$browse$626
683$2018-07-04 18:13:50$giveMark$545$4
418$2018-05-28 12:39:55$browse$87
749$2018-06-17 14:10:54$like$737
684$2018-02-12 18:48:54$like$1166
136$2018-01-05 07:51:20$browse$942
515$2018-01-08 04:38:22$giveMark$127$7
457$2018-07-09 07:01:51$browse$1171
252$2018-10-20 07:26:05$browse$1766
111$2018-10-20 10:54:36$like$1691
308$2018-09-09 17:59:04$giveMark$789$2
265$2018-04-26 13:02:34$like$1979
790$2018-08-05 04:16:10$share$741
385$2018-01-20 12:11:58$giveMark$531$3
374$2018-10-25 20:39:11$giveMark$493$9
445$2018-09-12 13:55:56$giveMark$805$10
13$2018-09-26 01:22:53$giveMark$1841$1
833$2018-02-06 11:58:35$giveMark$1820$2
181$2018-05-27 05:46:08$browse$596
965$2018-06-21 14:03:00$share$214
818$2018-04-04 09:46:39$giveMark$93$8
73$2018-05-23 04:21:07$share$146
696$2018-01-09 05:10:50$giveMark$1590$1
100$2018-07-05 15:32:48$giveMark$538$2
884$2018-05-19 01:13:32$giveMark$1567$8
399$2018-09-10 22:24:04$browse$1522
877$2018-06-18 00:15:03$giveMark$871$3
422$2018-06-22 06:12:14$browse$182
859$2018-09-13 03:41:23$giveMark$1171$4
562$2018-06-14 08:00:42$giveMark$799$3
313$2018-06-19 20:35:42$giveMark$1036$8
975$2018-04-01 05:06:20$like$1414
464$2018-09-09 03:43:48$share$1661
46$2018-02-02 16:53:33$browse$1279
953$2018-09-30 23:01:29$share$1467
336$2018-04-09 21:23:53$giveMark$567$3
192$2018-05-28 06:00:22$like$1282
644$2018-06-05 12:47:01$giveMark$830$2
774$2018-05-19 11:06:02$share$622
981$2018-09-04 05:11:00$like$1550
465$2018-03-22 08:31:46$share$1991
828$2018-05-14 11:40:29$share$401
216$2018-02-21 16:19:38$like$1363
671$2018-06-26 07:50:17$browse$1790
598$2018-04-17 12:07:53$share$127
65$2018-07-29 11:55:56$giveMark$4$6
1044$2018-01-30 03:32:34$like$2046
652$2018-03-19 18:41:55$share$1932
300$2018-10-05 09:42:00$share$616
60$2018-09-08 18:00:50$share$1635
432$2018-08-15 04:21:21$share$715
614$2018-06-15 08:32:56$browse$813
925$2018-10-07 09:16:03$browse$1062
30$2018-08-02 19:08:48$browse$1827
726$2018-08-18 20:33:19$browse$1928
484$2018-02-16 02:16:23$browse$1725
255$2018-07-20 21:26:44$share$1613
230$2018-08-17 15:49:18$giveMark$1776$6
377$2018-02-10 08:11:03$browse$313
236$2018-05-27 13:11:18$like$2081
629$2018-06-13 04:28:16$browse$1762
523$2018-02-05 00:57:42$giveMark$2104$3
626$2018-05-05 21:35:59$giveMark$1865$3
276$2018-08-22 09:44:20$like$414
14$2018-08-30 13:01:35$browse$897
444$2018-06-19 07:13:54$giveMark$310$6
880$2018-02-17 15:28:14$like$334
603$2018-03-06 06:56:44$browse$1591
703$2018-03-27 10:58:16$browse$439
506$2018-07-09 15:59:41$browse$1239
620$2018-10-13 10:02:43$giveMark$1765$3
964$2018-02-02 20:50:16$giveMark$1793$1
204$2018-02-07 04:14:10$giveMark$897$3
19$2018-07-23 01:05:06$giveMark$1472$10
278$2018-08-15 19:46:47$browse$865
137$2018-02-25 02:06:54$browse$1249
982$2018-05-24 02:07:47$share$714
987$2018-10-10 12:03:45$like$244
149$2018-08-20 01:26:35$like$1495
520$2018-06-19 07:21:13$share$1515
36$2018-09-07 05:04:39$browse$1960
1014$2018-05-15 08:54:19$giveMark$1946$5
293$2018-04-06 19:49:29$share$451
25$2018-09-28 20:48:14$share$724
35$2018-02-09 00:42:29$browse$63
914$2018-04-05 20:00:53$browse$1852
468$2018-10-15 10:10:33$giveMark$395$6
281$2018-05-27 20:34:39$share$49
499$2018-01-02 01:28:03$share$1147
481$2018-03-12 22:11:19$giveMark$735$10
426$2018-01-20 01:41:35$giveMark$1187$1
795$2018-09-20 20:48:36$giveMark$1765$3
524$2018-10-31 08:50:07$share$761
261$2018-06-27 07:36:43$like$2057
843$2018-05-10 00:04:41$giveMark$1462$5
176$2018-03-14 03:08:37$browse$1013
485$2018-10-08 20:59:12$giveMark$1845$9
794$2018-03-10 22:16:30$like$845
524$2018-02-02 14:31:00$browse$2011
208$2018-09-28 16:48:22$giveMark$1510$2
323$2018-09-20 17:17:35$like$1461
397$2018-05-24 12:17:38$share$2056
418$2018-08-22 19:35:35$browse$1748
971$2018-05-02 14:46:15$giveMark$5$5
904$2018-02-21 17:38:58$giveMark$755$7
386$2018-03-02 19:59:51$giveMark$1151$6
997$2018-05-03 23:29:11$giveMark$1767$3
1$2018-02-24 19:54:03$browse$661
228$2018-09-27 20:24:17$giveMark$1446$5
320$2018-01-02 14:52:51$giveMark$1078$10
59$2018-06-12 11:41:56$share$1040
496$2018-05-20 15:09:50$share$451
860$2018-08-22 07:22:06$browse$281
793$2018-03-15 15:12:11$giveMark$281$4
187$2018-08-12 12:05:15$share$580
1021$2018-09-04 07:12:21$giveMark$492$5
798$2018-02-17 12:06:48$like$1649
128$2018-09-28 19:06:23$like$1189
340$2018-02-12 11:32:07$share$1111
824$2018-08-07 13:24:34$browse$749
781$2018-10-28 07:53:16$browse$1378
100$2018-07-23 18:56:57$share$2047
485$2018-08-19 11:54:09$giveMark$1166$2
19$2018-09-04 23:56:37$giveMark$289$9
132$2018-04-11 14:54:30$share$1793
762$2018-01-02 00:32:21$share$299
693$2018-06-01 16:29:13$like$92
529$2018-01-16 10:41:58$browse$5
789$2018-10-24 17:45:04$share$770
1019$2018-09-27 16:20:07$giveMark$1045$5
196$2018-02-12 06:52:05$browse$2008
562$2018-04-18 11:41:16$browse$1431
143$2018-04-08 11:17:58$browse$1595
846$2018-04-07 12:46:31$like$1050
67$2018-05-24 12:36:46$like$1692
3$2018-07-01 20:24:25$giveMark$457$6
921$2018-02-08 16:44:20$browse$1726
504$2018-02-06 15:41:01$share$247
490$2018-03-02 01:07:32$browse$1974
195$2018-09-06 10:16:43$share$1937
326$2018-05-11 22:14:48$like$474
796$2018-05-31 09:03:56$giveMark$1888$4
351$2018-06-27 03:04:59$browse$1866
338$2018-10-05 04:37:14$share$1420
415$2018-05-13 08:51:31$browse$866
342$2018-05-19 20:12:52$browse$2025
534$2018-08-28 12:30:35$like$1429
75$2018-03-30 07:16:36$share$621
559$2018-08-17 09:47:03$like$619
1053$2018-08-06 20:54:19$giveMark$87$5
413$2018-07-06 14:59:30$browse$283
446$2018-02-22 19:14:24$share$1553
436$2018-02-03 19:27:44$giveMark$1713$10
133$2018-04-23 20:28:18$like$311
1037$2018-04-19 04:47:13$share$49
189$2018-05-19 02:41:41$browse$2070
704$2018-01-14 14:13:53$share$1553
412$2018-08-14 10:54:28$share$1077
405$2018-06-28 23:28:44$share$1451
958$2018-08-16 09:08:16$share$942
673$2018-06-10 22:16:58$like$2040
120$2018-08-17 11:49:44$share$189
437$2018-06-07 20:24:51$browse$1381
413$2018-01-26 15:10:59$giveMark$1919$2
771$2018-06-10 15:28:36$giveMark$1137$4
837$2018-10-07 23:09:55$like$596
610$2018-07-26 05:50:41$giveMark$380$10
769$2018-10-01 02:12:04$like$542
760$2018-09-24 01:59:50$browse$98
1028$2018-01-21 12:39:27$browse$1175
22$2018-08-22 13:36:47$share$358
804$2018-05-27 03:47:49$browse$1862
223$2018-09-18 20:17:29$browse$838
734$2018-05-05 15:18:44$giveMark$74$8
1019$2018-08-20 15:18:37$browse$1117
36$2018-07-06 01:02:12$share$885
432$2018-09-16 04:32:44$like$27
99$2018-05-25 19:19:50$browse$1193
95$2018-02-12 21:54:24$giveMark$1679$2
130$2018-10-30 21:51:30$like$166
793$2018-05-14 23:55:24$browse$325
966$2018-08-22 23:32:31$browse$874
223$2018-01-28 17:00:04$share$584
